Century,r_global_avg,arrival_eval_rate,arrival_flight_rate,meet_ttot_rate,sum_depflight,collisions_avg,wait_num_avg,fstep_avg,r_avg_0,r_avg_1,r_avg_2,r_avg_3,r_avg_4,r_avg_5,r_global_eval,r_eval_0,r_eval_1,r_eval_2,r_eval_3,r_eval_4,r_eval_5,r_eval_local,duration (s), dist_action
15400,-336.22,0.90,0.93,0.76,29,3.40,0.00,121.30,-75.38,-53.79,-64.03,-59.91,-74.16,-8.95,-320.94,25.78,-128.41,-110.78,-44.22,40.53,-103.84,-320.94,1496,[0.06566173 0.19034236 0.28819622 0.30991313 0.14588656]
15500,-197.10,1.00,1.00,0.67,30,0.40,0.00,76.00,-26.20,-66.49,-29.05,-42.89,-8.15,-24.33,141.71,29.21,19.30,16.40,15.10,34.80,26.90,141.71,1293,[0.06468686 0.18406351 0.27697736 0.35724787 0.1170244 ]
15600,-313.78,0.70,0.92,0.72,29,6.50,0.00,132.20,-47.96,-71.91,-83.90,-73.22,-24.14,-12.66,-435.65,-132.53,-195.60,-36.63,3.22,-86.33,12.22,-435.65,1470,[0.06296968 0.19538741 0.2614667  0.35993781 0.1202384 ]
15700,-436.57,0.50,0.78,0.66,32,17.60,0.00,201.80,-74.41,-83.72,-85.94,-81.51,-75.08,-35.91,-914.91,-188.34,-55.22,-110.43,-165.06,-209.74,-186.12,-914.91,1553,[0.06542056 0.1978972  0.25771028 0.34228972 0.13668224]
15800,-306.33,0.80,0.93,0.71,28,15.10,0.00,113.10,-22.90,-61.72,-43.94,-77.36,-43.60,-56.82,-228.90,-69.88,18.34,20.10,-68.70,27.49,-156.25,-228.90,1472,[0.06545545 0.20233947 0.2692882  0.34469886 0.11821802]
15900,-230.33,0.80,0.97,0.77,31,9.80,0.00,104.80,-39.72,-60.85,-38.02,-47.48,-25.69,-18.56,-65.23,-62.32,16.39,-39.19,16.61,27.01,-23.73,-65.23,1253,[0.06521115 0.1939098  0.28440103 0.35248492 0.10399311]
16000,-317.57,0.80,0.95,0.74,31,4.20,0.00,110.10,-46.26,-68.44,-70.98,-60.98,-42.32,-28.59,-68.34,8.87,-37.60,18.72,-52.42,-27.33,21.42,-68.34,1450,[0.06194011 0.19657026 0.28666496 0.32684924 0.12797543]
16100,-408.64,1.00,1.00,0.67,30,0.00,0.00,76.00,-54.13,-80.31,-72.90,-105.18,-47.42,-48.70,143.20,29.70,13.30,16.90,15.60,40.80,26.90,143.20,1530,[0.06681969 0.19714359 0.27314461 0.34098444 0.12190768]
16200,-426.94,0.90,0.97,0.72,29,16.40,0.00,94.20,-81.47,-84.88,-84.92,-80.42,-32.97,-62.29,-47.31,-55.62,0.53,16.21,-78.67,43.51,26.73,-47.31,1502,[0.06374037 0.20779827 0.26546813 0.32197058 0.14102265]
16300,-322.73,0.90,0.98,0.69,29,1.20,0.00,90.10,-35.28,-86.25,-61.80,-71.36,-22.44,-45.61,11.63,33.79,-92.30,-7.47,13.58,38.22,25.81,11.63,1485,[0.0598636  0.18868401 0.27456428 0.35766608 0.11922203]
16400,-334.83,0.60,0.83,0.79,28,22.60,0.00,172.20,-47.25,-97.60,-52.90,-50.38,-58.64,-28.06,-897.68,-129.63,-280.11,-127.81,8.54,-126.10,-242.57,-897.68,1503,[0.06108999 0.21622307 0.26970849 0.32471483 0.12826362]
16500,-355.62,0.80,0.97,0.70,30,2.80,0.00,101.40,-49.25,-50.84,-65.86,-87.22,-46.11,-56.35,-3.43,19.50,20.97,-37.54,1.20,-25.46,17.90,-3.43,1461,[0.05735036 0.17906336 0.29201102 0.32607062 0.14550463]
16600,-265.33,0.90,0.98,0.75,28,1.60,0.00,85.40,-24.49,-51.57,-71.52,-47.22,-41.06,-29.46,81.24,-18.68,19.03,14.63,11.85,33.29,21.12,81.24,1378,[0.06298803 0.19104633 0.27615825 0.35137949 0.1184279 ]
16700,-201.83,0.60,0.92,0.55,29,9.60,0.00,128.20,-20.20,-63.13,-34.13,-48.87,-29.55,-5.96,-449.48,-122.15,-38.89,-48.18,-260.54,9.11,11.17,-449.48,1260,[0.06158694 0.16213119 0.29361215 0.37353194 0.10913778]
16800,-305.54,1.00,1.00,0.67,30,0.60,0.00,78.90,-45.47,-65.42,-72.15,-52.76,-40.24,-29.49,135.12,32.60,11.14,15.31,17.64,33.53,24.90,135.12,1472,[0.06315789 0.19899749 0.25989975 0.3433584  0.13458647]
16900,-260.57,0.80,0.93,0.79,29,17.60,0.00,118.70,-60.87,-49.16,-32.78,-57.11,-14.97,-45.68,-362.27,-158.25,21.88,20.60,-15.07,-75.76,-155.67,-362.27,1362,[0.05576307 0.20517609 0.2558698  0.34685165 0.13633938]
17000,-174.88,0.90,0.97,0.57,30,2.00,0.00,94.80,-27.81,-51.46,-41.59,-31.36,-3.94,-18.72,-24.09,20.61,-82.48,15.61,-43.03,35.74,29.46,-24.09,1256,[0.05712492 0.16792216 0.30571249 0.35059636 0.11864407]
17100,-351.39,0.90,0.98,0.86,28,5.80,0.00,85.00,-61.77,-85.76,-69.48,-56.56,-29.65,-48.17,73.07,24.63,4.37,20.89,15.45,-14.64,22.37,73.07,1552,[0.06610127 0.20229484 0.27463208 0.32377151 0.1332003 ]
17200,-265.17,0.60,0.93,0.85,34,10.20,0.00,121.70,-39.26,-62.50,-48.35,-44.34,-27.73,-42.98,-293.16,19.44,-77.23,6.62,-7.69,-244.00,9.70,-293.16,1370,[0.05997789 0.16639027 0.28828082 0.35489221 0.13045882]
17300,-309.28,0.90,0.97,0.76,29,16.00,0.00,95.10,-58.24,-63.93,-40.80,-55.44,-47.43,-43.43,-42.19,-63.86,14.97,16.73,15.03,-55.80,30.74,-42.19,1393,[0.05795961 0.20167847 0.25570417 0.35929714 0.12536061]
17400,-348.84,0.80,0.93,0.69,29,2.40,0.00,116.40,-51.85,-72.51,-77.24,-69.65,-8.17,-69.42,-204.60,-111.44,10.92,-37.75,-9.74,-24.09,-32.50,-204.60,1512,[0.06243781 0.18308458 0.28233831 0.32736318 0.14477612]
17500,-169.95,0.60,0.92,0.67,30,4.80,0.00,128.10,-32.05,-56.42,-26.06,-36.34,-10.67,-8.42,-175.49,26.40,-35.81,-51.05,6.76,17.29,-139.08,-175.49,1215,[0.06579348 0.19037466 0.27170271 0.37222053 0.09990862]
17600,-198.99,0.90,0.97,0.68,31,0.00,0.00,95.30,-24.51,-49.87,-24.49,-37.79,-33.10,-29.23,28.44,39.08,12.16,-39.42,-39.62,36.03,20.21,28.44,1327,[0.06089653 0.18663659 0.28023682 0.36255991 0.10967014]
17700,-324.87,0.80,0.95,0.76,29,4.20,0.00,108.60,-36.75,-90.99,-73.51,-64.53,-18.32,-40.78,-86.51,22.94,-40.62,-80.29,14.21,26.42,-29.17,-86.51,1440,[0.06024704 0.19813461 0.26291908 0.34585329 0.13284598]
17800,-285.99,1.00,1.00,0.67,30,0.00,0.00,77.00,-46.18,-77.86,-53.73,-58.90,-30.03,-19.28,141.08,36.58,13.30,16.90,15.60,31.80,26.90,141.08,1395,[0.0628542  0.19835137 0.25811437 0.35600206 0.124678  ]
17900,-361.32,0.90,0.98,0.67,30,0.60,0.00,87.70,-57.78,-86.35,-68.35,-76.82,-46.55,-25.47,77.18,22.49,20.03,12.37,-40.50,34.43,28.36,77.18,1537,[0.06771321 0.17877226 0.26757263 0.32638238 0.15955951]
18000,-279.64,0.80,0.95,0.64,28,11.20,0.00,113.50,-46.80,-63.27,-86.87,-51.82,-27.17,-3.70,-129.16,18.75,-38.45,-7.79,-10.53,-105.97,14.83,-129.16,1386,[0.06045137 0.15475551 0.27565825 0.38259001 0.12654487]
18100,-305.47,0.90,0.97,0.62,29,6.80,0.00,98.70,-65.40,-70.32,-50.95,-63.27,-29.36,-26.17,-18.94,30.10,10.35,-46.72,0.44,-27.43,14.32,-18.94,1457,[0.06367407 0.18345938 0.28641132 0.31251525 0.15393999]
18200,-322.99,0.90,0.98,0.77,30,2.60,0.00,86.70,-71.80,-85.75,-33.24,-70.72,-24.01,-37.48,76.82,29.56,15.87,15.37,13.14,33.61,-30.73,76.82,1509,[0.06420233 0.16026265 0.26507782 0.36089494 0.14956226]
18300,-238.05,0.70,0.93,0.77,31,3.40,0.00,116.10,-26.22,-89.27,-44.39,-37.59,-6.57,-34.01,-119.53,-44.99,17.58,20.35,-43.15,-83.74,14.42,-119.53,1376,[0.06043804 0.17771001 0.2650402  0.35514278 0.14166898]
18400,-296.31,0.80,0.92,0.68,28,13.80,0.00,122.60,-36.00,-67.19,-33.74,-79.25,-34.40,-45.74,-276.54,-76.78,-142.57,11.99,-44.89,-53.05,28.76,-276.54,1340,[0.06107688 0.17706938 0.26788106 0.35440664 0.13956603]
